['INFO ]2023-07-27 14:30:27,577(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:27,804(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------------details retrieved by assignment id ------------------
['INFO ]2023-07-27 14:30:27,806(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
['INFO ]2023-07-27 14:30:27,845(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:27,846(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by userid-----------
['INFO ]2023-07-27 14:30:28,068(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
['INFO ]2023-07-27 14:30:28,094(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:28,095(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by batchid-----------
['INFO ]2023-07-27 14:30:28,313(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
['INFO ]2023-07-27 14:30:28,340(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:28,341(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by submission by userid-----------
['INFO ]2023-07-27 14:30:29,419(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
['INFO ]2023-07-27 14:30:29,447(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:29,449(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by submission by batchid-----------
['INFO ]2023-07-27 14:30:29,680(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- put request with endpoint------------------
['INFO ]2023-07-27 14:30:29,719(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Put request resubmit assignment*************
['INFO ]2023-07-27 14:30:29,961(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Put request resubmit assignment updated *************
['INFO ]2023-07-27 14:30:29,963(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
['INFO ]2023-07-27 14:30:29,991(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- put request with endpoint------------------
['INFO ]2023-07-27 14:30:30,037(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** put for grade submission student User *************
['INFO ]2023-07-27 14:30:30,253(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
['INFO ]2023-07-27 14:30:30,280(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- delete request with endpoint------------------
['INFO ]2023-07-27 14:30:30,281(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deleting Assignment Submission *************
['INFO ]2023-07-27 14:30:30,510(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-assertion validated
